run	s1_values
1.000000000000000e+00	4.381510e+00
2.000000000000000e+00	3.879240e+00
3.000000000000000e+00	5.479630e+00
4.000000000000000e+00	4.081210e+00
5.000000000000000e+00	3.186710e+00
6.000000000000000e+00	3.674150e+00
7.000000000000000e+00	3.267280e+00
8.000000000000000e+00	4.642990e+00
9.000000000000000e+00	3.112740e+00
1.000000000000000e+01	5.815640e+00
1.100000000000000e+01	5.360060e+00
1.200000000000000e+01	1.854030e+00
1.300000000000000e+01	2.257610e+00
1.400000000000000e+01	6.998170e+00
1.500000000000000e+01	2.783680e+00
1.600000000000000e+01	1.555740e+00
1.700000000000000e+01	6.512740e+00
1.800000000000000e+01	5.147100e+00
1.900000000000000e+01	2.232150e+00
2.000000000000000e+01	6.694940e+00
2.100000000000000e+01	3.311410e+00
2.200000000000000e+01	3.168030e+00
2.300000000000000e+01	5.817290e+00
2.400000000000000e+01	3.073370e+00
2.500000000000000e+01	1.381240e+00
2.600000000000000e+01	6.697500e+00
2.700000000000000e+01	2.818290e+00
2.800000000000000e+01	5.099120e+00
2.900000000000000e+01	4.492290e+00
3.000000000000000e+01	3.851590e+00
3.100000000000000e+01	3.433550e+00
3.200000000000000e+01	5.535110e+00
3.300000000000000e+01	3.206850e+00
3.400000000000000e+01	4.977900e+00
3.500000000000000e+01	6.528310e+00
3.600000000000000e+01	3.249890e+00
3.700000000000000e+01	2.631340e+00
3.800000000000000e+01	4.403670e+00
3.900000000000000e+01	3.385940e+00
4.000000000000000e+01	6.967770e+00
4.100000000000000e+01	2.164400e+00
4.200000000000000e+01	2.187110e+00
4.300000000000000e+01	5.458750e+00
4.400000000000000e+01	3.017880e+00
4.500000000000000e+01	5.247990e+00
4.600000000000000e+01	1.866850e+00
4.700000000000000e+01	6.115760e+00
4.800000000000000e+01	1.085510e+00
4.900000000000000e+01	5.116890e+00
5.000000000000000e+01	2.211650e+00
5.100000000000000e+01	2.394570e+00
5.200000000000000e+01	1.961150e+00
5.300000000000000e+01	6.548810e+00
5.400000000000000e+01	6.971070e+00
5.500000000000000e+01	4.751030e+00
5.600000000000000e+01	1.290600e+00
5.700000000000000e+01	5.614400e+00
5.800000000000000e+01	4.624870e+00
5.900000000000000e+01	4.808340e+00
6.000000000000000e+01	5.325450e+00
6.100000000000000e+01	5.427440e+00
6.200000000000000e+01	2.133640e+00
6.300000000000000e+01	3.107790e+00
6.400000000000000e+01	4.672290e+00
6.500000000000000e+01	1.894680e+00
6.600000000000000e+01	4.688220e+00
6.700000000000000e+01	6.859190e+00
6.800000000000000e+01	2.043550e+00
6.900000000000000e+01	5.465900e+00
7.000000000000000e+01	1.459610e+00
7.100000000000000e+01	3.689540e+00
7.200000000000000e+01	4.007230e+00
7.300000000000000e+01	2.883300e+00
7.400000000000000e+01	5.350170e+00
7.500000000000000e+01	1.394420e+00
7.600000000000000e+01	6.736690e+00
7.700000000000000e+01	2.932740e+00
7.800000000000000e+01	2.741750e+00
7.900000000000000e+01	1.687220e+00
8.000000000000000e+01	5.760160e+00
8.100000000000000e+01	4.192910e+00
8.200000000000000e+01	5.247260e+00
8.300000000000000e+01	3.949000e+00
8.400000000000000e+01	5.712180e+00
8.500000000000000e+01	4.785090e+00
8.600000000000000e+01	5.459670e+00
8.700000000000000e+01	2.979060e+00
8.800000000000000e+01	6.082430e+00
8.900000000000000e+01	6.123810e+00
9.000000000000000e+01	4.702870e+00
9.100000000000000e+01	4.744620e+00
9.200000000000000e+01	4.966000e+00
9.300000000000000e+01	4.666620e+00
9.400000000000000e+01	4.781060e+00
9.500000000000000e+01	6.131140e+00
9.600000000000000e+01	2.813720e+00
9.700000000000000e+01	1.663780e+00
9.800000000000000e+01	5.728660e+00
9.900000000000000e+01	4.691340e+00
1.000000000000000e+02	6.181490e+00
