run	s2_values
1.000000000000000e+00	4.030030e+00
2.000000000000000e+00	1.804020e+01
3.000000000000000e+00	2.374820e+01
4.000000000000000e+00	2.105200e+01
5.000000000000000e+00	6.193670e+00
6.000000000000000e+00	2.772460e+01
7.000000000000000e+00	4.213870e+00
8.000000000000000e+00	1.844230e+01
9.000000000000000e+00	1.481890e+01
1.000000000000000e+01	2.279960e+01
1.100000000000000e+01	2.502330e+01
1.200000000000000e+01	1.694450e+01
1.300000000000000e+01	2.469370e+01
1.400000000000000e+01	2.792310e+01
1.500000000000000e+01	1.038910e+01
1.600000000000000e+01	1.302080e+01
1.700000000000000e+01	4.210940e+00
1.800000000000000e+01	1.810980e+01
1.900000000000000e+01	1.563850e+01
2.000000000000000e+01	1.499110e+01
2.100000000000000e+01	1.837710e+01
2.200000000000000e+01	1.773770e+01
2.300000000000000e+01	1.420370e+01
2.400000000000000e+01	2.203720e+01
2.500000000000000e+01	1.580550e+01
2.600000000000000e+01	7.539900e+00
2.700000000000000e+01	2.062940e+01
2.800000000000000e+01	2.719870e+01
2.900000000000000e+01	2.372030e+01
3.000000000000000e+01	2.361270e+01
3.100000000000000e+01	2.156840e+01
3.200000000000000e+01	2.037380e+01
3.300000000000000e+01	6.952480e+00
3.400000000000000e+01	1.640830e+01
3.500000000000000e+01	2.678410e+01
3.600000000000000e+01	1.532140e+01
3.700000000000000e+01	1.494640e+01
3.800000000000000e+01	2.174050e+01
3.900000000000000e+01	2.414660e+01
4.000000000000000e+01	4.659200e+00
4.100000000000000e+01	1.675190e+01
4.200000000000000e+01	1.978270e+01
4.300000000000000e+01	6.638260e+00
4.400000000000000e+01	1.086590e+01
4.500000000000000e+01	2.403090e+01
4.600000000000000e+01	1.006540e+01
4.700000000000000e+01	2.334970e+01
4.800000000000000e+01	1.727700e+01
4.900000000000000e+01	2.205330e+01
5.000000000000000e+01	1.448130e+01
5.100000000000000e+01	1.448050e+01
5.200000000000000e+01	1.908840e+01
5.300000000000000e+01	2.069830e+01
5.400000000000000e+01	8.280400e+00
5.500000000000000e+01	6.340160e+00
5.600000000000000e+01	2.635640e+01
5.700000000000000e+01	9.455240e+00
5.800000000000000e+01	1.907370e+01
5.900000000000000e+01	1.834780e+01
6.000000000000000e+01	1.899460e+01
6.100000000000000e+01	8.422500e+00
6.200000000000000e+01	9.828790e+00
6.300000000000000e+01	1.803070e+01
6.400000000000000e+01	2.177790e+01
6.500000000000000e+01	2.330870e+01
6.600000000000000e+01	2.587740e+01
6.700000000000000e+01	2.002660e+01
6.800000000000000e+01	1.133980e+01
6.900000000000000e+01	2.442930e+01
7.000000000000000e+01	5.904350e+00
7.100000000000000e+01	1.708220e+01
7.200000000000000e+01	1.517340e+01
7.300000000000000e+01	2.171200e+01
7.400000000000000e+01	2.496040e+01
7.500000000000000e+01	7.053560e+00
7.600000000000000e+01	1.863130e+01
7.700000000000000e+01	1.969260e+01
7.800000000000000e+01	9.450120e+00
7.900000000000000e+01	1.990720e+01
8.000000000000000e+01	1.592350e+01
8.100000000000000e+01	2.051590e+01
8.200000000000000e+01	4.141360e+00
8.300000000000000e+01	2.471790e+01
8.400000000000000e+01	1.312260e+01
8.500000000000000e+01	2.693720e+01
8.600000000000000e+01	7.159030e+00
8.700000000000000e+01	4.667990e+00
8.800000000000000e+01	7.159030e+00
8.900000000000000e+01	2.131940e+01
9.000000000000000e+01	2.098980e+01
9.100000000000000e+01	8.054080e+00
9.200000000000000e+01	1.282160e+01
9.300000000000000e+01	1.663690e+01
9.400000000000000e+01	7.475450e+00
9.500000000000000e+01	7.276960e+00
9.600000000000000e+01	1.776040e+01
9.700000000000000e+01	1.147240e+01
9.800000000000000e+01	1.082200e+01
9.900000000000000e+01	2.185110e+01
1.000000000000000e+02	9.483810e+00
