index	s2_values
1.000000000000000e+00	1.399290e+00
2.000000000000000e+00	2.072450e+00
3.000000000000000e+00	3.191400e+00
4.000000000000000e+00	4.481090e+00
5.000000000000000e+00	5.722860e+00
6.000000000000000e+00	6.638420e+00
7.000000000000000e+00	7.553990e+00
8.000000000000000e+00	8.749530e+00
9.000000000000000e+00	1.035170e+01
1.000000000000000e+01	1.217960e+01
1.100000000000000e+01	1.320300e+01
1.200000000000000e+01	1.333350e+01
1.300000000000000e+01	1.346400e+01
1.400000000000000e+01	1.183110e+01
1.500000000000000e+01	1.183110e+01
1.600000000000000e+01	1.183110e+01
1.700000000000000e+01	1.183110e+01
1.800000000000000e+01	1.183110e+01
1.900000000000000e+01	1.183110e+01
2.000000000000000e+01	1.183110e+01
2.100000000000000e+01	1.183110e+01
2.200000000000000e+01	1.183110e+01
2.300000000000000e+01	1.183110e+01
2.400000000000000e+01	1.183110e+01
2.500000000000000e+01	1.183110e+01
2.600000000000000e+01	1.183110e+01
2.700000000000000e+01	1.183110e+01
2.800000000000000e+01	1.183110e+01
2.900000000000000e+01	1.183110e+01
3.000000000000000e+01	1.183110e+01
3.100000000000000e+01	1.183110e+01
3.200000000000000e+01	1.183110e+01
3.300000000000000e+01	1.183110e+01
3.400000000000000e+01	1.183110e+01
3.500000000000000e+01	1.183110e+01
3.600000000000000e+01	1.183110e+01
3.700000000000000e+01	1.183110e+01
3.800000000000000e+01	1.183110e+01
3.900000000000000e+01	1.183110e+01
4.000000000000000e+01	1.183110e+01
4.100000000000000e+01	1.183110e+01
4.200000000000000e+01	1.183110e+01
