Circuit: * D:\Disco D\universita\magistrale\progettazione-low-power\progetti\progetto-1\ltspice\models\buffer\optimized\buffer_optimized.asc

Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Direct Newton iteration for .op point succeeded.
.step index=1
.step index=2
.step index=3
.step index=4
.step index=5
.step index=6
.step index=7
.step index=8
.step index=9
.step index=10
.step index=11
.step index=12
.step index=13
.step index=14
.step index=15
.step index=16
.step index=17
.step index=18
.step index=19
.step index=20
.step index=21
.step index=22
.step index=23
.step index=24
.step index=25
.step index=26
.step index=27
.step index=28
.step index=29
.step index=30
.step index=31
.step index=32
.step index=33
.step index=34
.step index=35
.step index=36
.step index=37
.step index=38
.step index=38.2727


Measurement: energy_connected
  step	INTEG(v(supply)*i(vsupply))	FROM	TO
     1	-3.4041e-14	1.3e-08	2.2e-08
     2	-3.74063e-14	1.3e-08	2.2e-08
     3	-3.9898e-14	1.3e-08	2.2e-08
     4	-4.15151e-14	1.3e-08	2.2e-08
     5	-4.31751e-14	1.3e-08	2.2e-08
     6	-4.45267e-14	1.3e-08	2.2e-08
     7	-4.59529e-14	1.3e-08	2.2e-08
     8	-4.78715e-14	1.3e-08	2.2e-08
     9	-5.08003e-14	1.3e-08	2.2e-08
    10	-5.46377e-14	1.3e-08	2.2e-08
    11	-5.6947e-14	1.3e-08	2.2e-08
    12	-5.73051e-14	1.3e-08	2.2e-08
    13	-5.75467e-14	1.3e-08	2.2e-08
    14	-5.78186e-14	1.3e-08	2.2e-08
    15	-5.78186e-14	1.3e-08	2.2e-08
    16	-5.78186e-14	1.3e-08	2.2e-08
    17	-5.78186e-14	1.3e-08	2.2e-08
    18	-5.78186e-14	1.3e-08	2.2e-08
    19	-5.78186e-14	1.3e-08	2.2e-08
    20	-5.78186e-14	1.3e-08	2.2e-08
    21	-5.78186e-14	1.3e-08	2.2e-08
    22	-5.78186e-14	1.3e-08	2.2e-08
